Search_Category,Search_Time,Search_Word,id
분식,2019-05-23 20:02:50.723357,김밥,2
일식,2019-05-23 21:52:41.437062,초밥,2
양식,2019-05-23 23:06:43.956196,파스타,2
일식,2019-05-24 00:34:32.035589,사시미,2
한식,2019-05-24 03:55:40.463115,김치전,2
일식,2019-05-24 04:52:02.904115,라멘,2
한식,2019-05-24 08:08:31.972655,된장찌개,2
한식,2019-05-24 09:12:27.736616,불고기,2
중식,2019-05-24 10:34:05.398749,팔보채,2
일식,2019-05-24 11:20:59.178909,사시미,2
일식,2019-05-24 11:58:16.683643,초밥,2
중식,2019-05-24 12:25:47.826605,짬뽕,2
일식,2019-05-24 19:26:26.390113,우동,2
분식,2019-05-24 21:01:37.476336,떡볶이,2
분식,2019-05-24 21:31:24.887984,순대,2
양식,2019-05-24 23:06:16.065302,샐러드,2
양식,2019-05-25 00:06:03.529616,오믈렛,2
분식,2019-05-25 00:19:35.922296,튀김,2
양식,2019-05-25 07:00:22.253201,햄버거,2
한식,2019-05-25 10:13:17.271158,떡갈비,2
일식,2019-05-25 11:55:08.391107,초밥,2
일식,2019-05-25 12:06:15.922823,라멘,2
분식,2019-05-25 12:22:22.671691,떡볶이,2
한식,2019-05-25 17:56:54.636759,비빔밥,2
분식,2019-05-25 19:13:37.334919,순대,2
중식,2019-05-25 19:58:04.042717,칠리새우,2
한식,2019-05-26 03:51:34.194711,불고기,2
일식,2019-05-26 06:45:31.851319,가츠동,2
일식,2019-05-26 09:07:34.210588,초밥,2
일식,2019-05-26 11:20:54.157986,우동,2
일식,2019-05-26 11:57:44.930859,우동,2
한식,2019-05-26 13:57:47.876977,불고기,2
분식,2019-05-26 16:43:53.112447,김밥,2
일식,2019-05-26 17:12:37.833154,사시미,2
중식,2019-05-26 19:02:26.840147,칠리새우,2
중식,2019-05-26 19:50:09.078142,자장면,2
일식,2019-05-26 19:58:00.993948,우동,2
양식,2019-05-26 20:33:59.356356,파스타,2
분식,2019-05-26 20:38:21.947672,오뎅,2
중식,2019-05-26 21:45:53.033971,팔보채,2
분식,2019-05-26 21:45:56.724685,튀김,2
양식,2019-05-26 22:17:38.372012,샐러드,2
한식,2019-05-27 00:27:52.223472,된장찌개,2
양식,2019-05-27 04:13:22.759724,파스타,2
일식,2019-05-27 05:47:02.456499,텐동,2
일식,2019-05-27 08:32:45.390493,우동,2
한식,2019-05-27 09:26:40.487674,김치전,2
분식,2019-05-27 10:13:47.992569,순대,2
분식,2019-05-27 11:29:30.483867,떡볶이,2
일식,2019-05-27 14:56:36.226411,초밥,2
분식,2019-05-27 16:34:52.649168,떡볶이,2
중식,2019-05-27 18:15:57.282832,짬뽕,2
한식,2019-05-27 20:19:46.472207,불고기,2
분식,2019-05-27 20:25:04.041709,튀김,2
양식,2019-05-28 02:15:56.420025,스테이크,2
중식,2019-05-28 03:28:46.014157,자장면,2
일식,2019-05-28 04:30:23.919435,텐동,2
분식,2019-05-28 04:53:57.812054,튀김,2
일식,2019-05-28 05:51:37.974507,초밥,2
일식,2019-05-28 13:16:27.243103,가츠동,2
일식,2019-05-28 14:37:45.163649,가츠동,2
한식,2019-05-28 15:42:24.457222,비빔밥,2
한식,2019-05-28 17:54:58.610275,된장찌개,2
중식,2019-05-28 17:54:59.033138,자장면,2
분식,2019-05-29 01:17:56.807444,오뎅,2
분식,2019-05-29 03:15:56.001807,김밥,2
한식,2019-05-29 04:13:58.522697,김치전,2
한식,2019-05-29 05:15:35.297643,불고기,2
일식,2019-05-29 05:21:49.277758,라멘,2
일식,2019-05-29 07:19:44.145369,초밥,2
일식,2019-05-29 09:33:57.486356,우동,2
양식,2019-05-29 09:41:58.383950,오믈렛,2
일식,2019-05-29 11:47:39.156562,라멘,2
중식,2019-05-29 13:04:18.836877,짬뽕,2
일식,2019-05-29 14:44:31.941130,사시미,2
일식,2019-05-29 16:03:51.053950,초밥,2
일식,2019-05-29 16:23:24.884399,우동,2
한식,2019-05-29 17:09:40.816639,비빔밥,2
한식,2019-05-29 17:46:10.770697,김치전,2
양식,2019-05-29 20:13:45.838544,파스타,2
중식,2019-05-29 23:06:12.225434,짬뽕,2
일식,2019-05-30 00:25:12.506961,우동,2
양식,2019-05-30 01:54:12.339805,샐러드,2
분식,2019-05-30 02:26:02.472917,오뎅,2
한식,2019-05-30 02:28:29.656340,비빔밥,2
양식,2019-05-30 04:19:53.103065,파스타,2
양식,2019-05-30 07:36:18.478696,스테이크,2
한식,2019-05-30 11:21:27.119377,된장찌개,2
중식,2019-05-30 11:28:14.886369,칠리새우,2
분식,2019-05-30 15:00:15.770919,순대,2
