Search_Category,Search_Time,Search_Word,id
양식,2019-06-04 05:01:44.982714,샐러드,2
한식,2019-06-04 10:38:45.432428,김치전,2
일식,2019-06-04 10:42:05.602124,초밥,2
중식,2019-06-04 16:43:04.658617,탕수육,2
일식,2019-06-04 16:48:03.924908,우동,2
양식,2019-06-04 17:14:47.105573,파스타,2
일식,2019-06-04 17:20:27.039438,우동,2
일식,2019-06-04 18:56:22.805900,사시미,2
한식,2019-06-04 19:46:18.730868,된장찌개,2
일식,2019-06-04 20:38:30.161660,가츠동,2
한식,2019-06-04 20:58:48.776571,떡갈비,2
한식,2019-06-04 20:59:40.681520,불고기,2
일식,2019-06-05 00:19:22.480845,가츠동,2
양식,2019-06-05 00:28:20.559022,샐러드,2
중식,2019-06-05 01:35:00.339990,자장면,2
한식,2019-06-05 02:51:24.392894,떡갈비,2
일식,2019-06-05 04:49:22.752980,초밥,2
중식,2019-06-05 05:10:44.870344,짬뽕,2
분식,2019-06-05 05:28:09.085516,떡볶이,2
분식,2019-06-05 06:48:14.903375,떡볶이,2
분식,2019-06-05 07:31:50.798458,떡볶이,2
일식,2019-06-05 12:55:39.609024,가츠동,2
중식,2019-06-05 13:07:45.991427,짬뽕,2
한식,2019-06-05 13:17:45.752526,된장찌개,2
분식,2019-06-05 15:53:05.564281,김밥,2
한식,2019-06-05 16:29:42.895535,떡갈비,2
분식,2019-06-05 18:10:10.123268,순대,2
한식,2019-06-05 22:37:14.896442,된장찌개,2
분식,2019-06-05 23:38:46.026644,순대,2
일식,2019-06-06 02:34:12.401526,우동,2
일식,2019-06-06 04:15:13.323891,사시미,2
중식,2019-06-06 05:21:03.527151,짬뽕,2
일식,2019-06-06 06:26:08.157089,우동,2
중식,2019-06-06 07:56:14.843404,짬뽕,2
한식,2019-06-06 07:59:17.441445,김치전,2
분식,2019-06-06 09:04:02.413654,떡볶이,2
분식,2019-06-06 09:12:29.138382,떡볶이,2
양식,2019-06-06 09:28:55.623600,샐러드,2
일식,2019-06-06 09:53:02.010065,텐동,2
분식,2019-06-06 09:59:38.423327,순대,2
양식,2019-06-06 10:29:23.846187,피자,2
분식,2019-06-06 17:40:42.467292,오뎅,2
중식,2019-06-06 20:16:44.860130,자장면,2
분식,2019-06-06 22:30:25.922242,떡볶이,2
분식,2019-06-07 00:17:26.147117,김밥,2
일식,2019-06-07 02:39:31.085914,사시미,2
중식,2019-06-07 04:08:53.934250,칠리새우,2
한식,2019-06-07 07:16:06.604619,불고기,2
일식,2019-06-07 07:26:47.740473,우동,2
한식,2019-06-07 09:11:31.165805,불고기,2
분식,2019-06-07 09:27:41.495835,튀김,2
중식,2019-06-07 11:19:41.448655,팔보채,2
중식,2019-06-07 11:38:52.142575,짬뽕,2
양식,2019-06-07 18:29:24.894912,스테이크,2
일식,2019-06-07 23:34:52.215607,우동,2
분식,2019-06-07 23:39:06.063745,떡볶이,2
한식,2019-06-08 00:08:49.943185,비빔밥,2
분식,2019-06-08 01:01:58.648843,김밥,2
양식,2019-06-08 03:52:02.433749,파스타,2
분식,2019-06-08 04:05:48.463467,순대,2
한식,2019-06-08 06:12:51.992268,불고기,2
양식,2019-06-08 08:19:47.606188,샐러드,2
중식,2019-06-08 12:42:31.573893,짬뽕,2
일식,2019-06-08 12:55:25.036390,초밥,2
분식,2019-06-09 01:04:34.554966,떡볶이,2
분식,2019-06-09 03:30:17.702204,오뎅,2
분식,2019-06-09 03:55:59.471472,순대,2
분식,2019-06-09 04:53:43.951288,오뎅,2
일식,2019-06-09 06:55:57.746609,가츠동,2
분식,2019-06-09 07:24:17.341409,순대,2
양식,2019-06-09 09:05:44.409349,스테이크,2
중식,2019-06-09 10:34:38.079920,칠리새우,2
양식,2019-06-09 11:21:51.926268,햄버거,2
양식,2019-06-09 11:30:10.355803,샐러드,2
중식,2019-06-09 11:36:37.843228,칠리새우,2
중식,2019-06-09 12:56:51.082544,짬뽕,2
양식,2019-06-09 15:48:55.678360,오믈렛,2
양식,2019-06-09 16:57:38.303920,스테이크,2
중식,2019-06-09 18:02:28.552933,짬뽕,2
한식,2019-06-09 18:51:10.435469,떡갈비,2
양식,2019-06-09 20:01:07.007277,스테이크,2
분식,2019-06-09 21:39:38.237914,오뎅,2
양식,2019-06-10 00:59:23.421180,파스타,2
분식,2019-06-10 01:15:28.375220,순대,2
분식,2019-06-10 01:37:23.182935,순대,2
양식,2019-06-10 02:29:12.046128,파스타,2
한식,2019-06-10 03:49:50.611443,불고기,2
한식,2019-06-10 04:27:57.395940,불고기,2
양식,2019-06-10 06:00:48.286140,샐러드,2
한식,2019-06-10 06:44:24.154124,떡갈비,2
중식,2019-06-10 07:04:31.310580,자장면,2
한식,2019-06-10 07:48:32.438417,불고기,2
중식,2019-06-10 07:48:37.938484,칠리새우,2
일식,2019-06-10 10:38:21.632612,우동,2
한식,2019-06-10 14:07:59.859606,불고기,2
중식,2019-06-10 15:40:55.886802,자장면,2
분식,2019-06-10 15:56:47.529752,오뎅,2
한식,2019-06-10 18:18:51.900565,떡갈비,2
한식,2019-06-10 20:14:00.459347,떡갈비,2
양식,2019-06-10 22:31:01.210351,피자,2
중식,2019-06-10 23:06:54.941410,짬뽕,2
한식,2019-06-06 22:43:43.366132,떡갈비,2
한식,2019-06-06 23:03:12.919093,떡갈비,2
한식,2019-06-07 09:52:03.211074,불고기,2
한식,2019-06-07 10:25:36.437785,된장찌개,2
한식,2019-06-07 10:26:16.999666,된장찌개,2
